s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Kabul,AF01,34.4982470088801,69.5893624878111,7
Abu Nasr Farahi,2,Z1,32.165039,60.873467,Laghman,AF07,34.6408124383372,70.1900782989607,7
Abu Nasr Farahi,3,Z1,32.165039,60.873467,Baghlan,AF09,35.4932505600309,68.5327724729862,7
Abu Nasr Farahi,4,Z1,32.165039,60.873467,Bamyan,AF10,34.586524687062,66.9657709578099,7
Abu Nasr Farahi,5,Z1,32.165039,60.873467,Ghazni,AF11,33.086708741173,67.7671337681237,13
Abu Nasr Farahi,6,Z1,32.165039,60.873467,Badakhshan,AF17,36.9601251470652,70.8103034376905,7
Abu Nasr Farahi,7,Z1,32.165039,60.873467,Helmand,AF30,30.459467665301,63.9857726187421,7
Abu Nasr Farahi,8,Z1,32.165039,60.873467,Herat,AF32,33.5831281957975,62.0154714022423,39
Abu Nasr Farahi,9,Z1,32.165039,60.873467,Farah,AF33,32.385917859241,61.8148472573131,5836
Abu Nasr Farahi,10,Z1,32.165039,60.873467,Nimroz,AF34,30.1753261326768,62.0598987574247,7
Angor ada,11,Z2,32.519404,69.272673,Kabul,AF01,34.4982470088801,69.5893624878111,2
Angor ada,12,Z2,32.519404,69.272673,Wardak,AF04,33.9906535809407,68.5043748145767,2
Angor ada,13,Z2,32.519404,69.272673,Logar,AF05,33.812224972129,68.9706463877735,2
Angor ada,14,Z2,32.519404,69.272673,Ghazni,AF11,33.086708741173,67.7671337681237,14
Angor ada,15,Z2,32.519404,69.272673,Paktika,AF12,32.1690877330917,68.7511182109164,603
Angor ada,16,Z2,32.519404,69.272673,Paktya,AF13,33.7854887289057,69.4800588072264,16
Angor ada,17,Z2,32.519404,69.272673,Khost,AF14,33.3666027875108,70.1209948348634,13
Angor ada,18,Z2,32.519404,69.272673,Badakhshan,AF17,36.9601251470652,70.8103034376905,2
Angor ada,19,Z2,32.519404,69.272673,Balkh,AF21,36.266376351054,66.8644169925129,4
Bahramcha,20,Z3,29.42026,64.015136,Kabul,AF01,34.4982470088801,69.5893624878111,288
Bahramcha,21,Z3,29.42026,64.015136,Wardak,AF04,33.9906535809407,68.5043748145767,230
Bahramcha,22,Z3,29.42026,64.015136,Nangarhar,AF06,34.2617042711356,70.8409610841147,29
Bahramcha,23,Z3,29.42026,64.015136,Ghazni,AF11,33.086708741173,67.7671337681237,374
Bahramcha,24,Z3,29.42026,64.015136,Khost,AF14,33.3666027875108,70.1209948348634,29
Bahramcha,25,Z3,29.42026,64.015136,Balkh,AF21,36.266376351054,66.8644169925129,29
Bahramcha,26,Z3,29.42026,64.015136,Uruzgan,AF25,33.1321487583643,66.5788131195753,58
